641,mgk,255839785279705089,1349831932741,49216753,mgk funni shit,MGK funny as shit
641,mgk,255839785338433537,1349831932755,236162234,aww shit mgk wild ass,AWW SHIT. MGK WILD ASS
641,mgk,255839864682053632,1349831951672,352809741,mgk white nigga shit lmao,MGK only a white nigga would do that shit lmao
641,mgk,255839881530576896,1349831955689,315839156,mgk shit white peopl,"Mgk, The Shit That White People Do."
641,mgk,255839931740590081,1349831967660,243878577,mgk turn shit,MGK about to turn shit up !
641,mgk,255840166990712832,1349832023748,598193109,aw shit mgk fine want white dude frfr,AW shit! MGK is so fine..I want a white dude#FRFR
641,mgk,255840737118273536,1349832159677,506621586,mgk announc stereo video wild shit,When MGK announced that Stereo video I was on some wild shit
641,mgk,255840833742462976,1349832182714,240459805,mgk shit lmao,Mgk on that shit lmao
641,mgk,255844243770339328,1349832995728,411164910,mgk white,MGK was there he white
641,mgk,255844709078016000,1349833106666,325285115,real didnt know mgk white,I for real didn't know that MGK was white...
641,mgk,255849943732998144,1349834354705,593460238,didnt even know mgk wild boy,Most of you didn't even know who MGK was until Wild Boy 😒
219,romney,255822857031020544,1349827896732,259567009,poll advantag race right now obama romney,"Poll: Who has the advantage in the race right now, Obama or Romney? http://t.co/GUl6ISCK"
219,romney,255828338948579328,1349829203723,89720503,poll advantag race right now obama romneyamp via edshow,"Poll: Who has the advantage in the race right now, Obama or Romney&amp; http://t.co/RSdReMpD  via @edshow"
219,romney,255851063796723714,1349834621749,457521184,obama romney now tie presidenti race reuter ipso poll,Obama and Romney now tied in presidential race: Reuters/Ipsos poll - http://t.co/eTlMhFJu
219,romney,255942931419127808,1349856524697,19329764,obama romney now tie presidenti race reuter ipso poll,Obama and Romney now tied in presidential race: Reuters/Ipsos poll http://t.co/OLhDqaKu
219,romney,255999739294781440,1349870068750,531612903,presidenti race now dogfight romney surg washington reuter presidenti race seem th,Presidential race now a dogfight as Romney surges: WASHINGTON (Reuters) - The presidential race had seemed on th... http://t.co/zRC1D1Sl
219,romney,256018143732961280,1349874456710,142136889,presidenti race now dogfight romney surg washington reuter presidenti race seem verg slip,Presidential race now a dogfight as Romney surges: WASHINGTON (Reuters) - The presidential race had seemed on the verge of slipping f...
219,romney,256022308651679744,1349875449704,364129964,obama romney tie nevada poll,Obama and Romney tied in Nevada poll http://t.co/JJC82Jrt
219,romney,256024053586993152,1349875865729,411039931,polit obama romney tie nevada poll,Politics- Obama and Romney tied in Nevada poll http://t.co/AVdr7iWA
219,romney,256101270492958720,1349894275674,463514191,romney pull ahead obama presidenti race reuter ipso poll via reuter,Romney pulls ahead of Obama in presidential race: Reuters/Ipsos poll http://t.co/gI9yWUZ4 via @reuters
219,romney,256101291657400320,1349894280720,314453345,romney pull ahead obama presidenti race reuter ipso poll washington reuter republican mit,Romney pulls ahead of Obama in presidential race: Reuters/Ipsos poll: WASHINGTON (Reuters) - U.S. Republican Mit... http://t.co/TUrQsWjj
219,romney,256102570911739904,1349894585718,321294341,news romney pull ahead obama presidenti race reuter ipso poll washington reuter stiri,#News Romney pulls ahead of Obama in presidential race: Reuters/Ipsos poll: WASHINGTON (Reuters) - U.S.... http://t.co/QDaXTRP9 #Stiri
219,romney,256112163163361280,1349896872689,848202650,romney surpris good debat obama romney now tie poll masterdebat,"After Romney's surprisingly good debate, Obama and Romney are now tied in the polls #masterdebater"
219,romney,256119331316969472,1349898581710,580799477,romney take slight lead obama presidenti race reuter ipso poll washington reuter polit,Romney takes slight lead over Obama in presidential race: Reuters/Ipsos poll: WASHINGTON (Reuters) - R... http://t.co/bJd8akK9 #Politics
219,romney,256150272785653760,1349905958731,755766193,romney pull virtual tie obama nation,Romney Pulls Into Virtual Tie With Obama Nationally http://t.co/UMLsYVMu
219,romney,256153288179867648,1349906677657,279389259,romney take slight lead obama presidenti race reuter ipso poll washington reuter republican,Romney takes slight lead over Obama in presidential race: Reuters/Ipsos poll: WASHINGTON (Reuters) – Republican ... http://t.co/6IMnR0lO
728,merkel,255831085953458176,1349829858660,212776854,merkel see hope greek protest cut german chancellor angela merkel make first visit athen sinc,"Merkel Sees Hope as Greeks Protest Cuts: German Chancellor Angela Merkel, making her first visit to Athens since... http://t.co/kRuOfaJU"
728,merkel,255841760650092545,1349832403706,40602531,merkel see hope amid greek protest germani angela merkel said saw light end tunnel,"Merkel Sees Hope Amid Greek Protest: Germany's Angela Merkel said she saw ""light at the end of the tunnel"" for G... http://t.co/65ksAboZ"
728,merkel,255842347978461185,1349832543736,372732776,angri protest greet merkel cnns matthew chanc report german chancellor angela merkel visit greec,Angry protesters greet Merkel: CNN's Matthew Chance reports on German Chancellor Angela Merkel's visit to Greece... http://t.co/732fAXRv
728,merkel,255851940364288000,1349834830739,206668529,merkel get hostil recept greek visit athen greec german chancellor angela merkel got hostil,"Merkel Gets a Hostile Reception on Greek Visit: (ATHENS, Greece) — German Chancellor Angela Merkel got a hostile... http://t.co/NFZ2cxBP"
728,merkel,255902506738147328,1349846886702,353773606,protest greet merkel greec via youtub,Protests greet Merkel in Greece: http://t.co/ZZk1aPEW via @youtube
728,merkel,255902871768408064,1349846973732,23807115,reuter video greek reject merkel support german chancellor angela merkel travel greec first,Reuters Video: Greeks reject Merkel's support: German Chancellor Angela Merkel travelled to Greece for the first... http://t.co/LRlDsffE
728,merkel,255906420132814848,1349847819728,429670308,thousand protest merkel greec visit,thousands protest merkel s greece visit http://t.co/sXGTX3jE http://t.co/Ul8EAGCT
728,merkel,255906420157992960,1349847819734,730422924,thousand protest merkel greec visit,thousands protest merkel s greece visit http://t.co/MDsTdRVT http://t.co/nI0KEXlq
728,merkel,255955636200804352,1349859553753,70718189,merkel see hope greek protest germani merkel visit athen mark protest said saw lig,"Merkel Sees Hope as Greeks Protest: Germany's Merkel, in a visit to Athens marked by protests, said she saw ""lig... http://t.co/R11tN4vc"
728,merkel,255959733830291457,1349860530704,149097423,angela merkel visit greec paper say telegraph co ukangela merkel visit,Angela Merkel's visit to Greece: what the papers say - http://t.co/oCcIXWd4: Telegraph.co.ukAngela Merkel's visit... http://t.co/AYjAl0YV
728,merkel,256071209928765440,1349887108677,56693147,merkel see hope greek protest germani merkel visit athen mark protest said saw light,"Merkel Sees Hope as Greeks Protest Germany's Merkel, in a visit to Athens marked by protests, said she saw ""light http://t.co/fZiXomDA"
1757,eads,255868818176487424,1349838854723,624694291,ead bae fight lengthen odd save merger pari reuter ead bae system brace one last,"EADS, BAE fight lengthening odds to save merger: PARIS (Reuters) - EADS and BAE Systems are bracing for one last... http://t.co/IUTn3uZT"
1757,eads,255871632327966720,1349839525669,582406903,reuter ead bae fight lengthen odd save merger reuter ead bae fight lengthen,"Reuters: EADS, BAE fight lengthening odds to save merger http://t.co/v39g9e93: Reuters: EADS, BAE fight lengthen... http://t.co/SHftVDME"
1757,eads,255878205167251456,1349841092756,123107239,ead bae fight lengthen odd save merger,"EADS, BAE fight lengthening odds to save merger http://t.co/kiH7gJPG"
1757,eads,255890666293436417,1349844063720,111357157,ead bae fight lengthen odd save merger,"EADS, BAE Fight Lengthening Odds to Save Merger:  http://t.co/TU3f4Ki6"
1757,eads,255911692259696640,1349849076701,576358484,ead bae fight odd save merger pari reuter ead bae system brace one last effort,"EADS, BAE fight odds to save merger: PARIS (Reuters) - EADS and BAE Systems are bracing for one last effort to b... http://t.co/oMm7niM8"
1757,eads,255913114288152576,1349849415739,229561199,bae ead merger balanc,BAE and EADS merger in balance http://t.co/a9WfRrwx
1757,eads,255916591072571392,1349850244669,182194111,ead bae fight odd save merger pari reuter ead bae system brace one last effort breath life tr,"EADS, BAE fight odds to save merger: PARIS (Reuters) - EADS and BAE Systems are bracing for one last effort to breathe life into a tr..."
1757,eads,255918931682942976,1349850802714,96624621,bae ead merger decis due aerospac defenc firm bae ead must decid whether go ahead plan merger,BAE and EADS merger decision due: Aerospace and defence firms BAE and EADS must decide whether to go ahead with their planned merger ...
1757,eads,255919061626671104,1349850833695,69555570,bae ead merger decis due aerospac defenc firm bae ead must decid whether go busi,BAE and EADS merger decision due: Aerospace and defence firms BAE and EADS must decide whether to go a... http://t.co/EOqq8mOI #business
1757,eads,255919288005824512,1349850887668,201757835,bbc bae ead merger decis due,#BBC - BAE and EADS merger decision due http://t.co/xiwJF02k
1757,eads,255919866807209984,1349851025665,487731204,bbc latest news bae ead merger decis due,#bbc #latest news BAE and EADS merger decision due http://t.co/wkkvgQ4f
1757,eads,255919930036342784,1349851040740,185249596,bae ead merger decis due aerospac defenc firm bae ead must decid whether go ahead news,BAE and EADS merger decision due: Aerospace and defence firms BAE and EADS must decide whether to go ahead... http://t.co/eIiwiGrc #News
1757,eads,255919938198458368,1349851042686,596658895,bae ead merger decis due aerospac defenc firm bae ead must decid whether go ahead plan merger,BAE and EADS merger decision due: Aerospace and defence firms BAE and EADS must decide whether to go ahead with their planned merger ...
1757,eads,255919938269757440,1349851042703,243672831,join bnp bae ead merger decis due aerospac defenc firm bae ea littleborough leed,JOIN THE BNP HERE: BAE and EADS merger decision due: Aerospace and defence firms BAE and EA... http://t.co/atuquHQx #littleborough leeds
